# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    11.113107652   11.113477898    9.349077768
    0.000000000    2.238357655    2.238389459    1.634335369
    0.020020020    2.238367881    2.238399685    1.634337727
    0.040040040    2.238398559    2.238430363    1.634344800
    0.060060060    2.238449695    2.238481499    1.634356589
    0.080080080    2.238521295    2.238553099    1.634373095
    0.100100100    2.238613370    2.238645174    1.634394320
    0.120120120    2.238725933    2.238757737    1.634420264
    0.140140140    2.238859000    2.238890804    1.634450929
    0.160160160    2.239012591    2.239044394    1.634486318
    0.180180180    2.239186726    2.239218529    1.634526433
    0.200200200    2.239381431    2.239413234    1.634571276
    0.220220220    2.239596735    2.239628537    1.634620852
    0.240240240    2.239832667    2.239864469    1.634675164
    0.260260260    2.240089262    2.240121064    1.634734214
    0.280280280    2.240366557    2.240398359    1.634798009
    0.300300300    2.240664592    2.240696393    1.634866552
    0.320320320    2.240983410    2.241015210    1.634939847
    0.340340340    2.241323056    2.241354856    1.635017901
    0.360360360    2.241683580    2.241715380    1.635100719
    0.380380380    2.242065035    2.242096833    1.635188306
    0.400400400    2.242467474    2.242499273    1.635280669
    0.420420420    2.242890958    2.242922756    1.635377815
    0.440440440    2.243335548    2.243367345    1.635479750
    0.460460460    2.243801308    2.243833104    1.635586482
    0.480480480    2.244288306    2.244320102    1.635698018
    0.500500501    2.244796614    2.244828409    1.635814367
    0.520520521    2.245326307    2.245358101    1.635935537
    0.540540541    2.245877462    2.245909255    1.636061537
    0.560560561    2.246450160    2.246481952    1.636192375
    0.580580581    2.247044487    2.247076278    1.636328061
    0.600600601    2.247660529    2.247692319    1.636468606
    0.620620621    2.248298379    2.248330168    1.636614018
    0.640640641    2.248958131    2.248989920    1.636764310
    0.660660661    2.249639885    2.249671672    1.636919491
    0.680680681    2.250343741    2.250375527    1.637079574
    0.700700701    2.251069806    2.251101590    1.637244570
    0.720720721    2.251818188    2.251849972    1.637414490
    0.740740741    2.252589001    2.252620784    1.637589349
    0.760760761    2.253382362    2.253414143    1.637769158
    0.780780781    2.254198391    2.254230171    1.637953931
    0.800800801    2.255037213    2.255068991    1.638143682
    0.820820821    2.255898955    2.255930732    1.638338425
    0.840840841    2.256783751    2.256815526    1.638538174
    0.860860861    2.257691736    2.257723509    1.638742944
    0.880880881    2.258623051    2.258654823    1.638952752
    0.900900901    2.259577840    2.259609610    1.639167612
    0.920920921    2.260556253    2.260588021    1.639387541
    0.940940941    2.261558442    2.261590208    1.639612556
    0.960960961    2.262584564    2.262616328    1.639842674
    0.980980981    2.263634782    2.263666544    1.640077912
    1.001001001    2.264709262    2.264741022    1.640318289
    1.021021021    2.265808175    2.265839933    1.640563824
    1.041041041    2.266931696    2.266963452    1.640814534
    1.061061061    2.268080006    2.268111760    1.641070440
    1.081081081    2.269253290    2.269285041    1.641331562
