# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    2.225585304    2.225619032    1.626615593
    0.020020020    2.225557584    2.225591312    1.626609206
    0.040040040    2.225501503    2.225535231    1.626596287
    0.060060060    2.225424912    2.225458640    1.626578646
    0.080080080    2.225327916    2.225361644    1.626556305
    0.100100100    2.225210530    2.225244259    1.626529266
    0.120120120    2.225072771    2.225106500    1.626497532
    0.140140140    2.224914658    2.224948387    1.626461104
    0.160160160    2.224736214    2.224769943    1.626419985
    0.180180180    2.224537465    2.224571194    1.626374178
    0.200200200    2.224318438    2.224352167    1.626323686
    0.220220220    2.224079165    2.224112895    1.626268512
    0.240240240    2.223819680    2.223853410    1.626208661
    0.260260260    2.223540019    2.223573750    1.626144137
    0.280280280    2.223240223    2.223273954    1.626074944
    0.300300300    2.222920334    2.222954065    1.626001088
    0.320320320    2.222580397    2.222614129    1.625922572
    0.340340340    2.222220460    2.222254193    1.625839404
    0.360360360    2.221840575    2.221874308    1.625751588
    0.380380380    2.221440794    2.221474527    1.625659130
    0.400400400    2.221021174    2.221054908    1.625562038
    0.420420420    2.220581774    2.220615508    1.625460318
    0.440440440    2.220122655    2.220156390    1.625353977
    0.460460460    2.219643882    2.219677617    1.625243022
    0.480480480    2.219145521    2.219179258    1.625127461
    0.500500501    2.218627643    2.218661380    1.625007302
    0.520520521    2.218090319    2.218124056    1.624882554
    0.540540541    2.217533623    2.217567361    1.624753224
    0.560560561    2.216957633    2.216991372    1.624619323
    0.580580581    2.216362428    2.216396167    1.624480858
    0.600600601    2.215748090    2.215781831    1.624337840
    0.620620621    2.215114705    2.215148445    1.624190278
    0.640640641    2.214462357    2.214496099    1.624038182
    0.660660661    2.213791137    2.213824880    1.623881564
    0.680680681    2.213101137    2.213134880    1.623720432
    0.700700701    2.212392449    2.212426193    1.623554799
    0.720720721    2.211665170    2.211698914    1.623384675
    0.740740741    2.210919398    2.210953143    1.623210072
    0.760760761    2.210155233    2.210188979    1.623031002
    0.780780781    2.209372779    2.209406526    1.622847476
    0.800800801    2.208572139    2.208605887    1.622659507
    0.820820821    2.207753421    2.207787169    1.622467108
    0.840840841    2.206916732    2.206950482    1.622270291
    0.860860861    2.206062185    2.206095935    1.622069069
    0.880880881    2.205189891    2.205223642    1.621863456
    0.900900901    2.204299966    2.204333718    1.621653465
    0.920920921    2.203392525    2.203426278    1.621439110
    0.940940941    2.202467687    2.202501440    1.621220405
    0.960960961    2.201525572    2.201559326    1.620997364
    0.980980981    2.200566301    2.200600057    1.620770001
    1.001001001    2.199590000    2.199623756    1.620538333
    1.021021021    2.198596791    2.198630548    1.620302372
    1.041041041    2.197586803    2.197620561    1.620062136
    1.061061061    2.196560164    2.196593923    1.619817638
    1.081081081    2.195517004    2.195550763    1.619568896
    1.101101101    2.194457453    2.194491213    1.619315923
    1.121121121    2.193381646    2.193415406    1.619058738
    1.141141141    2.192289716    2.192323477    1.618797355
    1.161161161    2.191181799    2.191215560    1.618531792
    1.181181181    2.190058031    2.190091794    1.618262065
    1.201201201    2.188918552    2.188952315    1.617988191
    1.221221221    2.187763500    2.187797263    1.617710186
    1.241241241    2.186593016    2.186626780    1.617428069
    1.261261261    2.185407242    2.185441007    1.617141857
    1.281281281    2.184206321    2.184240086    1.616851567
    1.301301301    2.182990396    2.183024162    1.616557217
    1.321321321    2.181759613    2.181793380    1.616258825
    1.341341341    2.180514118    2.180547885    1.615956409
    1.361361361    2.179254057    2.179287824    1.615649988
    1.381381381    2.177979578    2.178013346    1.615339579
    1.401401401    2.176690830    2.176724598    1.615025203
    1.421421421    2.175387962    2.175421730    1.614706876
    1.441441441    2.174071123    2.174104892    1.614384618
    1.461461461    2.172740466    2.172774235    1.614058449
    1.481481481    2.171396141    2.171429910    1.613728388
    1.501501502    2.170038301    2.170072070    1.613394453
    1.521521522    2.168667097    2.168700867    1.613056664
    1.541541542    2.167282684    2.167316454    1.612715042
    1.561561562    2.165885215    2.165918985    1.612369605
    1.581581582    2.164474844    2.164508614    1.612020374
    1.601601602    2.163051726    2.163085496    1.611667368
    1.621621622    2.161616016    2.161649785    1.611310608
    1.641641642    2.160167868    2.160201638    1.610950113
    1.661661662    2.158707440    2.158741209    1.610585905
    1.681681682    2.157234886    2.157268655    1.610218004
    1.701701702    2.155750363    2.155784131    1.609846429
    1.721721722    2.154254026    2.154287795    1.609471203
    1.741741742    2.152746033    2.152779801    1.609092345
    1.761761762    2.151226540    2.151260308    1.608709876
    1.781781782    2.149695703    2.149729471    1.608323817
    1.801801802    2.148153680    2.148187446    1.607934190
    1.821821822    2.146600626    2.146634392    1.607541015
    1.841841842    2.145036699    2.145070464    1.607144313
    1.861861862    2.143462054    2.143495818    1.606744106
    1.881881882    2.141876849    2.141910612    1.606340415
    1.901901902    2.140281239    2.140315001    1.605933261
    1.921921922    2.138675381    2.138709142    1.605522667
    1.941941942    2.137059430    2.137093191    1.605108652
    1.961961962    2.135433543    2.135467302    1.604691239
    1.981981982    2.133797874    2.133831633    1.604270449
    2.002002002    2.132152580    2.132186337    1.603846305
    2.022022022    2.130497813    2.130531569    1.603418827
    2.042042042    2.128833730    2.128867484    1.602988038
    2.062062062    2.127160484    2.127194236    1.602553959
    2.082082082    2.125478228    2.125511979    1.602116613
    2.102102102    2.123787116    2.123820865    1.601676020
    2.122122122    2.122087300    2.122121048    1.601232203
    2.142142142    2.120378934    2.120412679    1.600785184
    2.162162162    2.118662167    2.118695911    1.600334985
    2.182182182    2.116937152    2.116970893    1.599881628
    2.202202202    2.115204038    2.115237778    1.599425134
    2.222222222    2.113462977    2.113496714    1.598965527
    2.242242242    2.111714116    2.111747852    1.598502827
    2.262262262    2.109957606    2.109991339    1.598037057
    2.282282282    2.108193593    2.108227324    1.597568239
    2.302302302    2.106422226    2.106455954    1.597096396
    2.322322322    2.104643650    2.104677375    1.596621548
    2.342342342    2.102858011    2.102891734    1.596143719
    2.362362362    2.101065455    2.101099175    1.595662931
    2.382382382    2.099266126    2.099299843    1.595179205
    2.402402402    2.097460168    2.097493882    1.594692563
    2.422422422    2.095647722    2.095681433    1.594203029
    2.442442442    2.093828932    2.093862639    1.593710623
    2.462462462    2.092003937    2.092037641    1.593215368
    2.482482482    2.090172878    2.090206579    1.592717286
    2.502502503    2.088335895    2.088369592    1.592216399
    2.522522523    2.086493126    2.086526819    1.591712729
    2.542542543    2.084644707    2.084678397    1.591206299
    2.562562563    2.082790776    2.082824462    1.590697129
    2.582582583    2.080931469    2.080965151    1.590185243
    2.602602603    2.079066919    2.079100597    1.589670661
    2.622622623    2.077197261    2.077230935    1.589153407
    2.642642643    2.075322627    2.075356296    1.588633501
    2.662662663    2.073443148    2.073476814    1.588110966
    2.682682683    2.071558956    2.071592617    1.587585824
    2.702702703    2.069670181    2.069703837    1.587058096
    2.722722723    2.067776950    2.067810601    1.586527804
    2.742742743    2.065879391    2.065913037    1.585994970
    2.762762763    2.063977631    2.064011273    1.585459616
    2.782782783    2.062071795    2.062105432    1.584921763
    2.802802803    2.060162008    2.060195640    1.584381434
    2.822822823    2.058248393    2.058282019    1.583838648
    2.842842843    2.056331072    2.056364693    1.583293429
    2.862862863    2.054410167    2.054443783    1.582745797
    2.882882883    2.052485798    2.052519408    1.582195775
    2.902902903    2.050558083    2.050591687    1.581643382
    2.922922923    2.048627140    2.048660738    1.581088642
    2.942942943    2.046693087    2.046726679    1.580531574
    2.962962963    2.044756038    2.044789624    1.579972201
    2.982982983    2.042816109    2.042849689    1.579410543
    3.003003003    2.040873412    2.040906986    1.578846622
    3.023023023    2.038928061    2.038961628    1.578280459
    3.043043043    2.036980166    2.037013726    1.577712074
    3.063063063    2.035029837    2.035063390    1.577141489
    3.083083083    2.033077183    2.033110730    1.576568725
    3.103103103    2.031122312    2.031155852    1.575993802
    3.123123123    2.029165330    2.029198863    1.575416742
    3.143143143    2.027206344    2.027239870    1.574837565
    3.163163163    2.025245457    2.025278975    1.574256291
    3.183183183    2.023282772    2.023316283    1.573672941
    3.203203203    2.021318392    2.021351896    1.573087537
    3.223223223    2.019352417    2.019385913    1.572500097
    3.243243243    2.017384948    2.017418436    1.571910643
    3.263263263    2.015416082    2.015449562    1.571319196
    3.283283283    2.013445918    2.013479390    1.570725774
    3.303303303    2.011474551    2.011508015    1.570130399
    3.323323323    2.009502078    2.009535533    1.569533091
    3.343343343    2.007528591    2.007562038    1.568933869
    3.363363363    2.005554184    2.005587622    1.568332755
    3.383383383    2.003578949    2.003612379    1.567729766
    3.403403403    2.001602976    2.001636397    1.567124924
    3.423423423    1.999626356    1.999659767    1.566518248
    3.443443443    1.997649175    1.997682578    1.565909758
    3.463463463    1.995671523    1.995704916    1.565299474
    3.483483483    1.993693484    1.993726868    1.564687415
    3.503503504    1.991715145    1.991748519    1.564073600
    3.523523524    1.989736588    1.989769953    1.563458049
    3.543543544    1.987757898    1.987791253    1.562840781
    3.563563564    1.985779155    1.985812500    1.562221816
    3.583583584    1.983800441    1.983833776    1.561601173
    3.603603604    1.981821834    1.981855160    1.560978870
    3.623623624    1.979843415    1.979876730    1.560354927
    3.643643644    1.977865259    1.977898564    1.559729362
    3.663663664    1.975887444    1.975920738    1.559102195
    3.683683684    1.973910045    1.973943328    1.558473444
    3.703703704    1.971933136    1.971966408    1.557843129
    3.723723724    1.969956790    1.969990051    1.557211266
    3.743743744    1.967981079    1.968014330    1.556577876
    3.763763764    1.966006075    1.966039314    1.555942977
    3.783783784    1.964031847    1.964065076    1.555306586
    3.803803804    1.962058465    1.962091682    1.554668722
    3.823823824    1.960085997    1.960119203    1.554029404
