# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    11.104982477   11.104870079    9.357504655
    0.000000000    2.237928056    2.237900585    1.637266279
    0.020020020    2.237938286    2.237910815    1.637268660
    0.040040040    2.237968978    2.237941506    1.637275802
    0.060060060    2.238020136    2.237992664    1.637287707
    0.080080080    2.238091767    2.238064294    1.637304375
    0.100100100    2.238183882    2.238156408    1.637325807
    0.120120120    2.238296493    2.238269019    1.637352005
    0.140140140    2.238429618    2.238402142    1.637382970
    0.160160160    2.238583274    2.238555797    1.637418705
    0.180180180    2.238757484    2.238730006    1.637459213
    0.200200200    2.238952274    2.238924793    1.637504496
    0.220220220    2.239167670    2.239140187    1.637554557
    0.240240240    2.239403704    2.239376219    1.637609400
    0.260260260    2.239660409    2.239632922    1.637669029
    0.280280280    2.239937824    2.239910334    1.637733448
    0.300300300    2.240235987    2.240208494    1.637802661
    0.320320320    2.240554941    2.240527446    1.637876674
    0.340340340    2.240894733    2.240867235    1.637955493
    0.360360360    2.241255412    2.241227911    1.638039121
    0.380380380    2.241637030    2.241609525    1.638127566
    0.400400400    2.242039642    2.242012134    1.638220833
    0.420420420    2.242463307    2.242435795    1.638318931
    0.440440440    2.242908087    2.242880570    1.638421864
    0.460460460    2.243374046    2.243346525    1.638529641
    0.480480480    2.243861252    2.243833727    1.638642270
    0.500500501    2.244369777    2.244342247    1.638759759
    0.520520521    2.244899695    2.244872160    1.638882115
    0.540540541    2.245451084    2.245423545    1.639009349
    0.560560561    2.246024026    2.245996481    1.639141469
    0.580580581    2.246618604    2.246591054    1.639278484
    0.600600601    2.247234908    2.247207352    1.639420406
    0.620620621    2.247873028    2.247845466    1.639567243
    0.640640641    2.248533059    2.248505491    1.639719007
    0.660660661    2.249215100    2.249187526    1.639875709
    0.680680681    2.249919252    2.249891672    1.640037361
    0.700700701    2.250645623    2.250618036    1.640203974
    0.720720721    2.251394319    2.251366726    1.640375560
    0.740740741    2.252165456    2.252137855    1.640552132
    0.760760761    2.252959149    2.252931541    1.640733704
    0.780780781    2.253775519    2.253747904    1.640920288
    0.800800801    2.254614691    2.254587068    1.641111900
    0.820820821    2.255476792    2.255449161    1.641308552
    0.840840841    2.256361955    2.256334316    1.641510259
    0.860860861    2.257270316    2.257242669    1.641717038
    0.880880881    2.258202017    2.258174361    1.641928903
    0.900900901    2.259157200    2.259129536    1.642145871
    0.920920921    2.260136016    2.260108343    1.642367957
    0.940940941    2.261138617    2.261110935    1.642595180
    0.960960961    2.262165160    2.262137469    1.642827555
    0.980980981    2.263215808    2.263188107    1.643065102
    1.001001001    2.264290727    2.264263015    1.643307838
    1.021021021    2.265390087    2.265362366    1.643555781
    1.041041041    2.266514064    2.266486333    1.643808952
    1.061061061    2.267662839    2.267635097    1.644067370
    1.081081081    2.268836597    2.268808845    1.644331056
    1.101101101    2.270035528    2.270007764    1.644600029
    1.121121121    2.271259826    2.271232052    1.644874311
    1.141141141    2.272509693    2.272481907    1.645153923
    1.161161161    2.273785333    2.273757536    1.645438889
    1.181181181    2.275086958    2.275059149    1.645729230
    1.201201201    2.276414783    2.276386961    1.646024970
    1.221221221    2.277769030    2.277741196    1.646326133
    1.241241241    2.279149926    2.279122079    1.646632743
    1.261261261    2.280557704    2.280529845    1.646944826
    1.281281281    2.281992604    2.281964731    1.647262405
    1.301301301    2.283454869    2.283426983    1.647585508
    1.321321321    2.284944752    2.284916852    1.647914162
    1.341341341    2.286462508    2.286434595    1.648248393
    1.361361361    2.288008402    2.287980474    1.648588229
    1.381381381    2.289582704    2.289554762    1.648933700
    1.401401401    2.291185690    2.291157733    1.649284833
    1.421421421    2.292817644    2.292789673    1.649641659
    1.441441441    2.294478857    2.294450871    1.650004208
    1.461461461    2.296169627    2.296141624    1.650372512
    1.481481481    2.297890257    2.297862239    1.650746601
    1.501501502    2.299641061    2.299613027    1.651126509
    1.521521522    2.301422359    2.301394308    1.651512268
    1.541541542    2.303234478    2.303206411    1.651903913
    1.561561562    2.305077755    2.305049671    1.652301478
    1.581581582    2.306952533    2.306924431    1.652704999
    1.601601602    2.308859165    2.308831046    1.653114511
    1.621621622    2.310798012    2.310769875    1.653530051
    1.641641642    2.312769444    2.312741289    1.653951658
    1.661661662    2.314773840    2.314745667    1.654379369
    1.681681682    2.316811588    2.316783397    1.654813224
    1.701701702    2.318883087    2.318854876    1.655253264
