# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    2.225699652    2.225689417    1.630194040
    0.020020020    2.225671920    2.225661685    1.630187590
    0.040040040    2.225615813    2.225605579    1.630174543
    0.060060060    2.225539187    2.225528953    1.630156726
    0.080080080    2.225442146    2.225431913    1.630134163
    0.100100100    2.225324706    2.225314474    1.630106855
    0.120120120    2.225186883    2.225176652    1.630074805
    0.140140140    2.225028696    2.225018466    1.630038014
    0.160160160    2.224850169    2.224839940    1.629996485
    0.180180180    2.224651326    2.224641099    1.629950221
    0.200200200    2.224432196    2.224421971    1.629899226
    0.220220220    2.224192810    2.224182587    1.629843502
    0.240240240    2.223933203    2.223922982    1.629783054
    0.260260260    2.223653411    2.223643192    1.629717887
    0.280280280    2.223353473    2.223343256    1.629648003
    0.300300300    2.223033433    2.223023218    1.629573410
    0.320320320    2.222693335    2.222683123    1.629494111
    0.340340340    2.222333228    2.222323019    1.629410112
    0.360360360    2.221953162    2.221942956    1.629321420
    0.380380380    2.221553191    2.221542989    1.629228039
    0.400400400    2.221133372    2.221123172    1.629129978
    0.420420420    2.220693763    2.220683567    1.629027243
    0.440440440    2.220234425    2.220224233    1.628919840
    0.460460460    2.219755424    2.219745235    1.628807778
    0.480480480    2.219256826    2.219246641    1.628691063
    0.500500501    2.218738700    2.218728519    1.628569705
    0.520520521    2.218201118    2.218190941    1.628443712
    0.540540541    2.217644156    2.217633983    1.628313091
    0.560560561    2.217067889    2.217057721    1.628177853
    0.580580581    2.216472399    2.216462235    1.628038007
    0.600600601    2.215857766    2.215847606    1.627893561
    0.620620621    2.215224075    2.215213920    1.627744527
    0.640640641    2.214571413    2.214561263    1.627590913
    0.660660661    2.213899868    2.213889724    1.627432732
    0.680680681    2.213209534    2.213199395    1.627269992
    0.700700701    2.212500503    2.212490369    1.627102706
    0.720720721    2.211772871    2.211762743    1.626930885
    0.740740741    2.211026737    2.211016614    1.626754540
    0.760760761    2.210262200    2.210252084    1.626573683
    0.780780781    2.209479364    2.209469254    1.626388327
    0.800800801    2.208678334    2.208668229    1.626198483
    0.820820821    2.207859215    2.207849117    1.626004164
    0.840840841    2.207022117    2.207012025    1.625805384
    0.860860861    2.206167151    2.206157065    1.625602155
    0.880880881    2.205294428    2.205284350    1.625394492
    0.900900901    2.204404065    2.204393993    1.625182407
    0.920920921    2.203496176    2.203486111    1.624965914
    0.940940941    2.202570881    2.202560823    1.624745028
    0.960960961    2.201628300    2.201618249    1.624519764
    0.980980981    2.200668554    2.200658510    1.624290135
    1.001001001    2.199691767    2.199681731    1.624056157
    1.021021021    2.198698065    2.198688036    1.623817845
