# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000290703    0.000290727    0.000003860
    0.021019019    0.006117514    0.006118015    0.000081201
    0.041038038    0.011983862    0.011984845    0.000158967
    0.061057057    0.017928092    0.017929567    0.000237568
    0.081076076    0.023989910    0.023991890    0.000317428
    0.101095095    0.030211099    0.030213603    0.000398996
    0.121114114    0.036636309    0.036639363    0.000482748
    0.141133133    0.043313949    0.043317584    0.000569200
    0.161152152    0.050297205    0.050301459    0.000658917
    0.181171171    0.057645245    0.057650163    0.000752527
    0.201190190    0.065424637    0.065430275    0.000850736
    0.221209209    0.073711083    0.073717507    0.000954343
    0.241228228    0.082591523    0.082598809    0.001064266
    0.261247247    0.092166742    0.092174985    0.001181565
    0.281266266    0.102554636    0.102563946    0.001307481
    0.301285285    0.113894324    0.113904833    0.001443472
    0.321304304    0.126351402    0.126363269    0.001591275
    0.341323323    0.140124712    0.140138129    0.001752970
    0.361342342    0.155455158    0.155470358    0.001931075
    0.381361361    0.172637317    0.172654584    0.002128667
    0.401380380    0.192034917    0.192054602    0.002349540
    0.421399399    0.214101725    0.214124263    0.002598426
    0.441418418    0.239410134    0.239436074    0.002881286
    0.461437437    0.268690869    0.268720904    0.003205732
    0.481456456    0.302889036    0.302924060    0.003581597
    0.501475475    0.343244690    0.343285869    0.004021785
    0.521494494    0.391410960    0.391459840    0.004543490
    0.541513514    0.449631093    0.449689761    0.005170036
    0.561532533    0.521010506    0.521081835    0.005933712
    0.581551552    0.609946626    0.610034672    0.006880230
    0.601570571    0.722830038    0.722940680    0.008076020
    0.621589590    0.869230633    0.869372664    0.009620554
    0.641608609    1.063990840    1.064177921    0.011668110
    0.661627628    1.331106839    1.331361145    0.014468114
    0.681646647    1.711358680    1.711718214    0.018444464
    0.701665666    2.278399997    2.278934336    0.024362795
    0.721684685    3.175693050    3.176540548    0.033714478
    0.741703704    4.710507290    4.711973296    0.049693908
    0.761722723    7.624121252    7.626972475    0.080007877
    0.781741742   13.965326057   13.971763893    0.145957909
    0.801760761   29.640950915   29.656750448    0.308955362
    0.821779780   56.630316048   56.643214417    0.589478349
    0.841798799   42.696856200   42.680786506    0.444530404
    0.861817818   19.616673364   19.608798782    0.204706634
    0.881836837    9.988353011    9.985274271    0.104675299
    0.901855856    5.869191391    5.867815312    0.061883814
    0.921874875    3.832208531    3.831508079    0.040722760
    0.941893894    2.699383418    2.698989050    0.028949421
    0.961912913    2.012942662    2.012702262    0.021803711
    0.981931932    1.570571563    1.570414741    0.017178365
    1.001950951    1.273210243    1.273101034    0.014036485
    1.021969970    1.068610864    1.068529076    0.011823322
    1.041988989    0.928104209    0.928037135    0.010221621
    1.062008008    0.836470388    0.836408477    0.009039933
    1.082027027    0.787965309    0.787899041    0.008157587
    1.102046046    0.786634385    0.786550296    0.007495786
    1.122065065    0.852840548    0.852712635    0.007001619
    1.142084084    1.046216199    1.045980867    0.006638798
    1.162103103    1.543295525    1.542770023    0.006382111
    1.182122122    2.825631237    2.824423525    0.006213976
    1.202141141    4.374196038    4.373959658    0.006122273
    1.222160160    2.847458623    2.848369145    0.006098944
    1.242179179    1.583326361    1.583667620    0.006139156
    1.262198198    1.144887629    1.144947395    0.006240732
    1.282217217    1.107390832    1.107260343    0.006403878
    1.302236236    1.464650631    1.464200693    0.006631125
    1.322255255    2.533445290    2.532498525    0.006927443
    1.342274274    3.028829854    3.029203107    0.007300562
    1.362293293    1.702842549    1.703379776    0.007761543
    1.382312312    0.977105438    0.977315050    0.008325703
    1.402331331    0.682614121    0.682701695    0.009013926
    1.422350350    0.550339340    0.550381669    0.009854731
    1.442369369    0.487691613    0.487714892    0.010887395
    1.462388388    0.461355614    0.461370158    0.012166827
    1.482407407    0.458256856    0.458267481    0.013771345
    1.502426426    0.473572644    0.473582153    0.015815548
    1.522445445    0.506819252    0.506829889    0.018472450
    1.542464464    0.560833805    0.560848159    0.022013385
    1.562483483    0.642328291    0.642350328    0.026884114
    1.582502503    0.764170873    0.764207804    0.033860128
    1.602521522    0.950995998    0.951062550    0.044390585
    1.622540541    1.253156952    1.253286560    0.061440131
    1.642559560    1.785123900    1.785402040    0.091811410
    1.662578579    2.845116110    2.845791139    0.153418969
    1.682597598    5.292432788    5.294230739    0.298309051
    1.702616617   10.385277716   10.387867439    0.602216205
    1.722635636   10.722087460   10.719091051    0.606604660
    1.742654655    7.215178243    7.212344236    0.359351194
    1.762673674    7.706478932    7.702935279    0.317872440
    1.782692693   13.316708157   13.309560358    0.485091486
    1.802711712   20.678465550   20.677885451    0.724753714
    1.822730731   12.763904526   12.770287632    0.448068166
    1.842749750    6.126245481    6.128953598    0.216697523
    1.862768769    3.480237919    3.481387927    0.121348086
    1.882787788    2.333863199    2.334327603    0.078012474
    1.902806807    1.604272663    1.604452524    0.055340329
    1.922825826    1.170283555    1.170400002    0.042180403
    1.942844845    0.916744227    0.916820542    0.033993257
    1.962863864    0.758167143    0.758215856    0.028689681
    1.982882883    0.655356390    0.655385926    0.025216393
    2.002901902    0.589096951    0.589112318    0.023012422
    2.022920921    0.549468034    0.549471863    0.021779015
    2.042939940    0.531655337    0.531648540    0.021377863
    2.062958959    0.534319418    0.534301429    0.021790699
    2.082977978    0.559298614    0.559267273    0.023117447
    2.102996997    0.612494040    0.612445112    0.025612598
    2.123016016    0.706693163    0.706619565    0.029781954
    2.143035035    0.869074224    0.868965700    0.036605784
    2.163054054    1.160074036    1.159913728    0.048072345
    2.183073073    1.666467716    1.666090457    0.068576970
    2.203092092    2.477373894    2.476423004    0.109060129
    2.223111111    4.374456120    4.372224915    0.200583550
    2.243130130    9.208366009    9.203078734    0.427921638
    2.263149149   15.263048673   15.262638158    0.711951868
    2.283168168    9.537878324    9.543240706    0.444307842
    2.303187187    4.464733140    4.467027435    0.206857372
    2.323206206    2.410917871    2.411866735    0.110718555
    2.343225225    1.503468429    1.503922962    0.068216264
    2.363244244    1.041391530    1.041638089    0.046532494
    2.383263263    0.778866297    0.779012919    0.034159798
    2.403282282    0.617506976    0.617600229    0.026491755
    2.423301301    0.512718447    0.512780741    0.021438490
    2.443320320    0.442188841    0.442231943    0.017951550
    2.463339339    0.393881864    0.393912393    0.015461575
    2.483358358    0.360944169    0.360966060    0.013639469
    2.503377377    0.339353219    0.339368914    0.012285579
    2.523396396    0.326761589    0.326772653    0.011274473
    2.543415415    0.321913604    0.321921062    0.010525864
    2.563434434    0.324367195    0.324371725    0.009988793
    2.583453453    0.334409366    0.334411411    0.009633118
    2.603472472    0.353136605    0.353136443    0.009445604
    2.623491491    0.382738706    0.382736499    0.009429701
    2.643510511    0.427119846    0.427115665    0.009609626
    2.663529530    0.493188108    0.493181979    0.010041568
    2.683548549    0.593635755    0.593627715    0.010839793
    2.703567568    0.753410236    0.753400490    0.012239025
    2.723586587    1.026411263    1.026400611    0.014756907
    2.743605606    1.544242124    1.544233319    0.019670173
    2.763624625    2.675210868    2.675213192    0.030570257
    2.783643644    5.446036445    5.446075871    0.057491264
    2.803662663    9.374594870    9.374629793    0.095667625
    2.823681682    6.426670221    6.426589947    0.066308644
    2.843700701    3.365984248    3.365844122    0.035553416
    2.863719720    2.286771532    2.286536754    0.023654960
    2.883738739    2.107784263    2.107359728    0.019430477
    2.903757758    2.579668398    2.578806190    0.018965076
    2.923776777    4.118993507    4.116964105    0.022147260
    2.943795796    8.232162386    8.227354439    0.032246045
    2.963814815   13.483407709   13.482534593    0.045583918
    2.983833834    8.516617990    8.520970427    0.034237359
    3.003852853    4.068648648    4.070500512    0.024594741
    3.023871872    2.267331416    2.268074774    0.022016474
    3.043890891    1.477593359    1.477932133    0.022740378
    3.063909910    1.087049186    1.087217698    0.025760863
    3.083928929    0.884228093    0.884312941    0.031623933
    3.103947948    0.791993543    0.792031331    0.042739123
    3.123966967    0.794030932    0.794041308    0.066163319
    3.143985986    0.907874335    0.907844182    0.112312818
    3.164005005    1.028410875    1.028222165    0.129461237
    3.184024024    1.269994656    1.269617533    0.137127197
    3.204043043    2.045601068    2.044705030    0.219261787
    3.224062062    3.950988784    3.949304801    0.438592315
    3.244081081    4.638483618    4.639406120    0.518002980
    3.264100100    2.500517894    2.501510861    0.268626942
    3.284119119    1.396030568    1.396401929    0.139530992
    3.304138138    0.967509759    0.967646478    0.088880879
    3.324157157    0.795783040    0.795819553    0.067953990
    3.344176176    0.742955034    0.742935881    0.060581810
    3.364195195    0.770958236    0.770890531    0.061858282
    3.384214214    0.882549881    0.882416208    0.071824921
    3.404233233    1.124575284    1.124319195    0.095355644
    3.424252252    1.641243055    1.640701893    0.147927975
    3.444271271    2.859345736    2.858049727    0.275443042
    3.464290290    5.496176373    5.493945493    0.543671555
    3.484309309    6.287852116    6.289231636    0.600056720
    3.504328328    3.748505352    3.749711841    0.325485942
    3.524347347    2.757724320    2.757785749    0.200196860
    3.544366366    3.086948522    3.086033190    0.183139241
    3.564385385    5.006873852    5.004138142    0.258473236
    3.584404404    8.748789673    8.746556827    0.427351070
    3.604423423    7.116903288    7.120492003    0.342683322
    3.624442442    4.082008541    4.083574239    0.191720157
    3.644461461    3.194009150    3.194161389    0.142653016
    3.664480480    3.660066822    3.659075425    0.155912863
    3.684499499    5.890072361    5.887013785    0.247627972
    3.704518519   10.240650548   10.237814867    0.426946262
    3.724537538    9.762034368    9.764109122    0.342992848
    3.744556557    9.150356719    9.150610989    0.203292160
    3.764575576    7.243487382    7.245440652    0.137607331
    3.784594595    5.756224140    5.756818271    0.117039260
    3.804613614    7.359518275    7.358499031    0.143538179
    3.824632633    9.184767994    9.182012727    0.121063648
    3.844651652    7.616472087    7.618450453    0.070906528
    3.864670671    3.979046070    3.980557807    0.047648214
    3.884689690    2.277098428    2.277684528    0.037379131
    3.904708709    1.543241501    1.543482734    0.032590071
    3.924727728    1.190656968    1.190754028    0.030687248
    3.944746747    1.017425587    1.017444727    0.030819142
    3.964765766    0.951885670    0.951845995    0.032926111
    3.984784785    0.974598839    0.974489980    0.037611686
    4.004803804    1.101679986    1.101456379    0.046563384
    4.024822823    1.411316668    1.410862381    0.064078172
    4.044841842    2.133100446    2.132073386    0.102105203
    4.064860861    3.908924167    3.906507857    0.193578017
    4.084879880    6.750290060    6.748255710    0.337779291
    4.104898899    6.456862536    6.458569342    0.319580129
    4.124917918    3.703037576    3.704665370    0.180322601
    4.144936937    2.362619124    2.363136712    0.111699806
    4.164955956    2.037200592    2.037195168    0.092049024
    4.184974975    2.308016770    2.307581346    0.097927282
    4.204993994    3.346886013    3.345678899    0.130471651
    4.225013013    6.118734312    6.115666912    0.217107883
    4.245032032   11.335064449   11.331465892    0.431064829
    4.265051051   11.558566271   11.561530344    0.596531427
    4.285070070    6.694304048    6.697086936    0.378340709
    4.305089089    4.768939845    4.769180858    0.292859968
    4.325108108    5.819044692    5.817030992    0.401201835
    4.345127127    8.313723448    8.313473410    0.607274449
    4.365146146    5.489444527    5.492454588    0.398079596
    4.385165165    2.784336776    2.785683594    0.194754072
    4.405184184    1.645283835    1.645860444    0.110178564
    4.425203203    1.122625064    1.122910221    0.071921301
    4.445222222    0.848244554    0.848401684    0.051975175
    4.465241241    0.691600400    0.691691671    0.040441931
    4.485260260    0.600569270    0.600620997    0.033334404
    4.505279279    0.553039822    0.553063045    0.028849132
    4.525298298    0.541493147    0.541490135    0.026116994
    4.545317317    0.569429348    0.569393685    0.024741202
    4.565336336    0.656150862    0.656060189    0.024634258
    4.585355355    0.858290798    0.858079752    0.026018454
    4.605374374    1.343047041    1.342521366    0.029614501
    4.625393393    2.469681984    2.468668064    0.037212302
    4.645412412    3.070084785    3.070576077    0.052882255
    4.665431431    2.237358100    2.237746968    0.089152877
    4.685450450    2.405739974    2.405390471    0.179201390
    4.705469469    3.144668174    3.144630229    0.260126482
    4.725488488    3.467089815    3.466906216    0.155074089
    4.745507508    4.432938468    4.432398124    0.085459566
    4.765526527    4.272949482    4.272463971    0.053942509
    4.785545546    3.049011335    3.050154146    0.039649042
    4.805564565    1.625142676    1.625753543    0.034101046
    4.825583584    1.018141458    1.018374679    0.034256831
    4.845602603    0.789140133    0.789215182    0.040127066
    4.865621622    0.763171512    0.763135033    0.055765235
    4.885640641    0.966726063    0.966508763    0.094940567
    4.905659660    1.617369138    1.616840041    0.192033314
    4.925678679    2.147330109    2.147636269    0.265900869
    4.945697698    1.436314055    1.436893290    0.151327710
    4.965716717    1.198755820    1.199090331    0.082732664
    4.985735736    1.012786686    1.012725925    0.054211114
    5.005754755    0.609625948    0.609560956    0.037271631
