# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.684827731   10.685125750    9.640424127
    0.001000000    7.973867914    7.974107588    1.734653428
    0.021019019    7.976510269    7.976750078    1.734687377
    0.041038038    7.983729531    7.983969932    1.734783232
    0.061057057    7.995658578    7.995899957    1.734941492
    0.081076076    8.012374942    8.012617696    1.735162985
    0.101095095    8.033988334    8.034232872    1.735448889
    0.121114114    8.060642655    8.060889406    1.735800745
    0.141133133    8.092518606    8.092768019    1.736220486
    0.161152152    8.129837028    8.130089579    1.736710473
    0.181171171    8.172863114    8.173119313    1.737273540
    0.201190190    8.221911640    8.222172037    1.737913045
    0.221209209    8.277353424    8.277618615    1.738632939
    0.241228228    8.339623266    8.339893905    1.739437849
    0.261247247    8.409229719    8.409506526    1.740333181
    0.281266266    8.486767117    8.487050894    1.741325242
    0.301285285    8.572930449    8.573222091    1.742421395
    0.321304304    8.668533818    8.668834334    1.743630256
    0.341323323    8.774533502    8.774844040    1.744961927
    0.361342342    8.892056944    8.892378815    1.746428301
    0.381361361    9.022439489    9.022774207    1.748043444
    0.401380380    9.167271341    9.167620665    1.749824084
    0.421399399    9.328458169    9.328824162    1.751790236
    0.441418418    9.508300159    9.508685264    1.753966029
    0.461437437    9.709596355    9.710003489    1.756380788
    0.481456456    9.935784150    9.936216838    1.759070485
    0.501475475   10.191128457   10.191591005    1.762079701
    0.521494494   10.480982278   10.481480014    1.765464337
    0.541513514   10.812151884   10.812691494    1.769295410
    0.561532533   11.193418522   11.194008524    1.773664470
    0.581551552   11.636299717   11.636951161    1.778691516
    0.601570571   12.156186812   12.156914314    1.784536813
    0.621589590   12.774089889   12.774913227    1.791419035
    0.641608609   13.519393275   13.520339903    1.799643895
    0.661627628   14.434346860   14.435456029    1.809650836
    0.681646647   15.581633857   15.582963574    1.822091688
    0.701665666   17.057524727   17.059163873    1.837967405
    0.721684685   19.015130920   19.017220498    1.858869782
    0.741703704   21.703770259   21.706537328    1.887390655
    0.761722723   25.513318003   25.517094582    1.927582764
