# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000    7.967189771    7.967411024    1.727648706
    0.021019019    7.960530865    7.960751567    1.727560262
    0.041038038    7.947623640    7.947843270    1.727388690
    0.061057057    7.930171194    7.930389375    1.727156390
    0.081076076    7.908320229    7.908536597    1.726865031
    0.101095095    7.882208364    7.882422575    1.726516100
    0.121114114    7.851994685    7.852206411    1.726111307
    0.141133133    7.817858736    7.818067672    1.725652588
    0.161152152    7.779998052    7.780203917    1.725142070
    0.181171171    7.738625337    7.738827871    1.724582052
    0.201190190    7.693965504    7.694164476    1.723974965
    0.221209209    7.646252700    7.646447903    1.723323348
    0.241228228    7.595727370    7.595918625    1.722629812
    0.261247247    7.542633439    7.542820592    1.721897015
    0.281266266    7.487215653    7.487398577    1.721127630
    0.301285285    7.429717132    7.429895725    1.720324322
    0.321304304    7.370377150    7.370551333    1.719489723
    0.341323323    7.309429183    7.309598902    1.718626414
    0.361342342    7.247099219    7.247264439    1.717736905
    0.381361361    7.183604338    7.183765048    1.716823618
    0.401380380    7.119151573    7.119307775    1.715888881
    0.421399399    7.053937009    7.054088726    1.714934910
    0.441418418    6.988145141    6.988292411    1.713963809
    0.461437437    6.921948447    6.922091318    1.712977563
    0.481456456    6.855507156    6.855645693    1.711978032
    0.501475475    6.788969210    6.789103485    1.710966955
    0.521494494    6.722470363    6.722600458    1.709945947
    0.541513514    6.656134421    6.656260425    1.708916503
    0.561532533    6.590073587    6.590195597    1.707880001
    0.581551552    6.524388895    6.524507011    1.706837704
    0.601570571    6.459170710    6.459285037    1.705790769
    0.621589590    6.394499277    6.394609923    1.704740247
    0.641608609    6.330445307    6.330552382    1.703687093
    0.661627628    6.267070582    6.267174198    1.702632170
    0.681646647    6.204428570    6.204528839    1.701576254
    0.701665666    6.142565038    6.142662070    1.700520041
    0.721684685    6.081518652    6.081612561    1.699464156
    0.741703704    6.021321573    6.021412467    1.698409152
    0.761722723    5.962000018    5.962088006    1.697355520
    0.781741742    5.903574804    5.903659994    1.696303696
    0.801760761    5.846061865    5.846144361    1.695254061
    0.821779780    5.789472737    5.789552642    1.694206950
    0.841798799    5.733815012    5.733892427    1.693162652
    0.861817818    5.679092764    5.679167785    1.692121421
    0.881836837    5.625306941    5.625379663    1.691083472
    0.901855856    5.572455730    5.572526244    1.690048991
    0.921874875    5.520534890    5.520603285    1.689018133
    0.941893894    5.469538059    5.469604421    1.687991030
    0.961912913    5.419457032    5.419521444    1.686967789
    0.981931932    5.370282016    5.370344559    1.685948499
    1.001950951    5.322001859    5.322062609    1.684933229
    1.021969970    5.274604258    5.274663290    1.683922032
    1.041988989    5.228075945    5.228133330    1.682914950
    1.062008008    5.182402857    5.182458664    1.681912008
    1.082027027    5.137570282    5.137624576    1.680913223
    1.102046046    5.093562995    5.093615840    1.679918602
    1.122065065    5.050365377    5.050416835    1.678928142
    1.142084084    5.007961520    5.008011648    1.677941834
    1.162103103    4.966335316    4.966384170    1.676959662
    1.182122122    4.925470544    4.925518179    1.675981606
    1.202141141    4.885350939    4.885397405    1.675007637
    1.222160160    4.845960251    4.846005599    1.674037727
    1.242179179    4.807282306    4.807326581    1.673071841
    1.262198198    4.769301043    4.769344292    1.672109941
    1.282217217    4.732000563    4.732042829    1.671151988
    1.302236236    4.695365157    4.695406482    1.670197940
    1.322255255    4.659379338    4.659419760    1.669247753
    1.342274274    4.624027861    4.624067420    1.668301382
    1.362293293    4.589295747    4.589334479    1.667358779
    1.382312312    4.555168297    4.555206236    1.666419897
    1.402331331    4.521631103    4.521668283    1.665484688
    1.422350350    4.488670063    4.488706516    1.664553101
    1.442369369    4.456271381    4.456307137    1.663625089
    1.462388388    4.424421579    4.424456668    1.662700599
    1.482407407    4.393107496    4.393141947    1.661779583
    1.502426426    4.362316293    4.362350132    1.660861990
    1.522445445    4.332035449    4.332068701    1.659947770
    1.542464464    4.302252762    4.302285452    1.659036872
    1.562483483    4.272956346    4.272988499    1.658129246
    1.582502503    4.244134631    4.244166268    1.657224842
    1.602521522    4.215776353    4.215807496    1.656323612
    1.622540541    4.187870555    4.187901226    1.655425504
    1.642559560    4.160406579    4.160436797    1.654530472
    1.662578579    4.133374061    4.133403845    1.653638464
    1.682597598    4.106762926    4.106792295    1.652749435
